yas,maas,deneyim_yil,departman,sehir,performans_puani,eksik_veri
56,150000,18,Pazarlama,Ankara,5.79,
120,4636,4,Yazilim,Izmir,3.18,90.0
32,7737,21,Pazarlama,Istanbul,3.42,55.0
60,17555,24,Finans,Istanbul,4.4,87.0
25,16877,28,Pazarlama,Ankara,1.18,39.0
38,3854,13,Pazarlama,Istanbul,3.9,15.0
56,8855,27,Yazilim,Ankara,2.9,4.0
36,10392,4,Yazilim,Istanbul,3.95,
40,16949,14,Yazilim,Izmir,2.08,86.0
28,8791,16,Pazarlama,Istanbul,9.01,25.0
28,7931,29,Finans,Istanbul,6.34,13.0
41,3202,13,İK,Bursa,7.11,
53,14447,29,İK,Ankara,8.1,33.0
57,15688,19,Yazilim,Istanbul,5.49,16.0
41,7389,4,Yazilim,Istanbul,1.78,42.0
20,5327,11,Pazarlama,Bursa,5.83,66.0
39,11004,15,İK,Bursa,6.28,55.0
19,10777,25,Yazilim,Ankara,7.71,
41,3197,25,Finans,Bursa,4.88,42.0
61,4930,15,Finans,Izmir,2.15,34.0
47,14774,20,Yazilim,Bursa,3.55,30.0
55,18087,6,Yazilim,Izmir,4.27,13.0
19,12339,3,İK,Ankara,6.81,13.0
38,14589,0,İK,Ankara,6.14,18.0
50,18708,29,Pazarlama,Ankara,4.2,32.0
29,5811,29,İK,Ankara,9.88,96.0
39,17243,4,Finans,Ankara,6.45,99.0
61,9546,22,Finans,Izmir,3.14,39.0
42,4986,25,Yazilim,Izmir,1.92,46.0
44,11338,9,İK,Ankara,2.38,29.0
59,14411,21,Pazarlama,Bursa,3.21,62.0
45,5911,4,Finans,Istanbul,2.45,93.0
33,4734,3,Finans,Ankara,2.68,
32,11680,1,Pazarlama,Bursa,3.57,
64,8759,19,Pazarlama,Istanbul,2.56,16.0
61,5385,9,Finans,Ankara,9.07,56.0
20,14111,25,Finans,Ankara,1.72,10.0
54,7736,18,Pazarlama,Izmir,5.72,30.0
24,4802,25,Finans,Istanbul,4.69,25.0
38,11155,0,Yazilim,Istanbul,9.84,84.0
26,11120,23,Yazilim,Bursa,2.01,5.0
56,9616,4,Pazarlama,Izmir,4.58,65.0
35,17257,12,İK,Izmir,9.73,94.0
21,17486,3,Pazarlama,Izmir,8.79,49.0
42,19646,15,Pazarlama,Izmir,8.35,3.0
31,17075,23,İK,Istanbul,3.32,45.0
26,12208,15,İK,Istanbul,2.54,14.0
43,19371,22,İK,Ankara,7.02,30.0
19,14835,1,Yazilim,Ankara,9.36,68.0
37,16168,16,Finans,Izmir,6.01,18.0
